provincia ;canton;area;asiste_a_educacion;numero_total_personas;ninguno;guarderia;educación_inicial;alfabetizacion;educacion_general_basica;bachillerato;postbachillerato;educacion_tecnica;educacion_superior;maestria;doctorado
Pastaza;Santa Clara;Urbana;No asiste;1.133;118;9;1;;270;470;3;38;197;26;1
Pastaza;Santa Clara;Rural;Total Rural;2.690;245;55;51;27;1.258;751;7;60;221;15;
Pastaza;Santa Clara;Rural;Asiste;876;;37;45;3;544;143;3;21;78;2;
Pastaza;Santa Clara;Rural;No asiste;1.814;245;18;6;24;714;608;4;39;143;13;
Pastaza;Arajuno;Total Arajuno;Total Arajuno;9.553;981;278;342;26;4.641;2.484;31;153;588;29;
Pastaza;Arajuno;Total Arajuno;Asiste;4.217;;248;325;;2.712;663;12;46;211;;
Pastaza;Arajuno;Total Arajuno;No asiste;5.336;981;30;17;26;1.929;1.821;19;107;377;29;
Pastaza;Arajuno;Urbana;Total Urbana;2.377;181;67;74;6;885;735;11;68;330;20;
Pastaza;Arajuno;Urbana;Asiste;1.028;;63;72;;571;173;4;24;121;;
Pastaza;Arajuno;Urbana;No asiste;1.349;181;4;2;6;314;562;7;44;209;20;
Pastaza;Arajuno;Rural;Total Rural;7.176;800;211;268;20;3.756;1.749;20;85;258;9;
Pastaza;Arajuno;Rural;Asiste;3.189;;185;253;;2.141;490;8;22;90;;
Pastaza;Arajuno;Rural;No asiste;3.987;800;26;15;20;1.615;1.259;12;63;168;9;
Pichincha;Total Pichincha;Total Pichincha;Total Pichincha;3.089.473;156.123;23.506;58.553;3.729;997.429;851.520;15.674;133.668;717.754;121.288;10.229
Pichincha;Total Pichincha;Urbana;Total Urbana;1.958.079;89.325;14.218;35.530;1.553;594.184;542.908;10.595;89.112;489.849;83.723;7.082
Pichincha;Total Pichincha;Urbana;Asiste;613.059;;12.640;33.436;132;282.491;102.089;2.167;21.309;156.429;2.191;175
Pichincha;Total Pichincha;Urbana;No asiste;1.345.020;89.325;1.578;2.094;1.421;311.693;440.819;8.428;67.803;333.420;81.532;6.907
Pichincha;Total Pichincha;Rural;Total Rural;1.131.394;66.798;9.288;23.023;2.176;403.245;308.612;5.079;44.556;227.905;37.565;3.147
Pichincha;Total Pichincha;Rural;Asiste;369.521;;8.162;21.523;82;180.995;65.362;1.121;11.765;79.479;943;89
Pichincha;Total Pichincha;Rural;No asiste;761.873;66.798;1.126;1.500;2.094;222.250;243.250;3.958;32.791;148.426;36.622;3.058
Pichincha;Distrito Metropolitano de Quito;Total Distrito Metropolitano de Quito;Total Distrito Metropolitano de Quito;2.679.722;126.478;19.512;49.817;2.590;840.720;736.590;13.323;118.128;650.051;112.855;9.658
Pichincha;Distrito Metropolitano de Quito;Total Distrito Metropolitano de Quito;Asiste;847.741;;17.296;46.870;180;395.118;142.804;2.766;28.780;210.826;2.868;233
Pichincha;Distrito Metropolitano de Quito;Total Distrito Metropolitano de Quito;No asiste;1.831.981;126.478;2.216;2.947;2.410;445.602;593.786;10.557;89.348;439.225;109.987;9.425
Pichincha;Distrito Metropolitano de Quito;Urbana;Total Urbana;1.763.275;79.428;12.593;31.415;1.345;532.841;488.629;9.226;80.511;444.003;76.703;6.581
Pichincha;Distrito Metropolitano de Quito;Urbana;Asiste;549.818;;11.196;29.559;118;252.511;91.431;1.918;19.303;141.626;2.008;148
Pichincha;Distrito Metropolitano de Quito;Urbana;No asiste;1.213.457;79.428;1.397;1.856;1.227;280.330;397.198;7.308;61.208;302.377;74.695;6.433
Pichincha;Distrito Metropolitano de Quito;Rural;Total Rural;916.447;47.050;6.919;18.402;1.245;307.879;247.961;4.097;37.617;206.048;36.152;3.077
Pichincha;Distrito Metropolitano de Quito;Rural;Asiste;297.923;;6.100;17.311;62;142.607;51.373;848;9.477;69.200;860;85
Pichincha;Distrito Metropolitano de Quito;Rural;No asiste;618.524;47.050;819;1.091;1.183;165.272;196.588;3.249;28.140;136.848;35.292;2.992
Pichincha;Cayambe;Total Cayambe;Total Cayambe;105.267;8.895;1.362;2.460;522;42.665;29.647;785;4.027;13.881;972;51
Pichincha;Cayambe;Total Cayambe;Asiste;36.649;;1.255;2.327;6;18.271;6.946;173;1.402;6.222;42;5
Pichincha;Cayambe;Total Cayambe;No asiste;68.618;8.895;107;133;516;24.394;22.701;612;2.625;7.659;930;46
Pichincha;Cayambe;Urbana;Total Urbana;44.559;2.566;586;1.054;55;15.602;13.336;416;1.963;8.249;699;33
Pichincha;Cayambe;Urbana;Asiste;15.503;;546;1.003;1;7.225;2.767;77;569;3.285;26;4
Pichincha;Cayambe;Urbana;No asiste;29.056;2.566;40;51;54;8.377;10.569;339;1.394;4.964;673;29
Pichincha;Cayambe;Rural;Total Rural;60.708;6.329;776;1.406;467;27.063;16.311;369;2.064;5.632;273;18
Pichincha;Cayambe;Rural;Asiste;21.146;;709;1.324;5;11.046;4.179;96;833;2.937;16;1
Pichincha;Cayambe;Rural;No asiste;39.562;6.329;67;82;462;16.017;12.132;273;1.231;2.695;257;17
Pichincha;Mejía;Total Mejía;Total Mejía;101.894;7.940;628;2.102;246;40.427;29.823;600;4.124;14.760;1.202;42
Pichincha;Mejía;Total Mejía;Asiste;33.695;;546;1.919;8;17.490;6.331;155;1.072;6.118;51;5
Pichincha;Mejía;Total Mejía;No asiste;68.199;7.940;82;183;238;22.937;23.492;445;3.052;8.642;1.151;37
Pichincha;Mejía;Urbana;Total Urbana;24.188;1.451;126;509;38;8.316;6.979;199;1.080;4.997;480;13
Pichincha;Mejía;Urbana;Asiste;7.880;;112;483;;3.895;1.326;41;224;1.788;8;3
Pichincha;Mejía;Urbana;No asiste;16.308;1.451;14;26;38;4.421;5.653;158;856;3.209;472;10
Pichincha;Mejía;Rural;Total Rural;77.706;6.489;502;1.593;208;32.111;22.844;401;3.044;9.763;722;29
Pichincha;Mejía;Rural;Asiste;25.815;;434;1.436;8;13.595;5.005;114;848;4.330;43;2
Pichincha;Mejía;Rural;No asiste;51.891;6.489;68;157;200;18.516;17.839;287;2.196;5.433;679;27
Pichincha;Pedro Moncayo;Total Pedro Moncayo;Total Pedro Moncayo;40.483;3.243;632;982;180;17.516;12.068;80;1.225;4.250;290;17
Pichincha;Pedro Moncayo;Total Pedro Moncayo;Asiste;13.370;;524;883;2;7.049;2.582;36;424;1.854;16;
Pichincha;Pedro Moncayo;Total Pedro Moncayo;No asiste;27.113;3.243;108;99;178;10.467;9.486;44;801;2.396;274;17
Pichincha;Pedro Moncayo;Urbana;Total Urbana;13.019;880;214;327;12;5.035;4.253;31;417;1.701;139;10
Pichincha;Pedro Moncayo;Urbana;Asiste;4.344;;180;295;;2.311;756;13;121;662;6;
Pichincha;Pedro Moncayo;Urbana;No asiste;8.675;880;34;32;12;2.724;3.497;18;296;1.039;133;10
Pichincha;Pedro Moncayo;Rural;Total Rural;27.464;2.363;418;655;168;12.481;7.815;49;808;2.549;151;7
Pichincha;Pedro Moncayo;Rural;Asiste;9.026;;344;588;2;4.738;1.826;23;303;1.192;10;
Pichincha;Pedro Moncayo;Rural;No asiste;18.438;2.363;74;67;166;7.743;5.989;26;505;1.357;141;7
Pichincha;Rumiñahui;Total Rumiñahui;Total Rumiñahui;107.904;4.494;510;2.031;94;30.448;28.038;773;4.962;30.535;5.578;441
Pichincha;Rumiñahui;Total Rumiñahui;Asiste;33.060;;453;1.923;9;15.068;5.442;128;1.021;8.855;141;20
Pichincha;Rumiñahui;Total Rumiñahui;No asiste;74.844;4.494;57;108;85;15.380;22.596;645;3.941;21.680;5.437;421
Pichincha;Rumiñahui;Urbana;Total Urbana;96.647;3.763;462;1.795;72;25.905;24.699;680;4.461;28.920;5.455;435
Pichincha;Rumiñahui;Urbana;Asiste;29.606;;412;1.698;8;13.408;4.749;113;886;8.178;135;19
Pichincha;Rumiñahui;Urbana;No asiste;67.041;3.763;50;97;64;12.497;19.950;567;3.575;20.742;5.320;416
Pichincha;Rumiñahui;Rural;Total Rural;11.257;731;48;236;22;4.543;3.339;93;501;1.615;123;6
Pichincha;Rumiñahui;Rural;Asiste;3.454;;41;225;1;1.660;693;15;135;677;6;1
Pichincha;Rumiñahui;Rural;No asiste;7.803;731;7;11;21;2.883;2.646;78;366;938;117;5
Pichincha;San Miguel de los Bancos;Total San Miguel de los Bancos;Total San Miguel de los Bancos;13.661;1.202;159;294;18;6.031;3.917;42;379;1.504;108;7
Pichincha;San Miguel de los Bancos;Total San Miguel de los Bancos;Asiste;4.707;;140;261;6;2.482;880;8;115;806;8;1
Pichincha;San Miguel de los Bancos;Total San Miguel de los Bancos;No asiste;8.954;1.202;19;33;12;3.549;3.037;34;264;698;100;6
Pichincha;San Miguel de los Bancos;Urbana;Total Urbana;5.396;429;61;152;11;2.138;1.566;27;219;733;57;3
Pichincha;San Miguel de los Bancos;Urbana;Asiste;2.022;;52;140;5;1.022;324;2;70;402;4;1
Pichincha;San Miguel de los Bancos;Urbana;No asiste;3.374;429;9;12;6;1.116;1.242;25;149;331;53;2
Pichincha;San Miguel de los Bancos;Rural;Total Rural;8.265;773;98;142;7;3.893;2.351;15;160;771;51;4
Pichincha;San Miguel de los Bancos;Rural;Asiste;2.685;;88;121;1;1.460;556;6;45;404;4;
Pichincha;San Miguel de los Bancos;Rural;No asiste;5.580;773;10;21;6;2.433;1.795;9;115;367;47;4
Pichincha;Pedro Vicente Maldonado;Total Pedro Vicente Maldonado;Total Pedro Vicente Maldonado;15.475;1.411;338;393;25;7.313;4.348;23;393;1.089;136;6
Pichincha;Pedro Vicente Maldonado;Total Pedro Vicente Maldonado;Asiste;5.193;;279;353;;3.145;925;10;116;363;2;
Pichincha;Pedro Vicente Maldonado;Total Pedro Vicente Maldonado;No asiste;10.282;1.411;59;40;25;4.168;3.423;13;277;726;134;6
Pichincha;Pedro Vicente Maldonado;Urbana;Total Urbana;7.162;510;129;190;9;2.867;2.338;8;292;703;112;4
Pichincha;Pedro Vicente Maldonado;Urbana;Asiste;2.497;;104;178;;1.394;497;1;81;240;2;
Pichincha;Pedro Vicente Maldonado;Urbana;No asiste;4.665;510;25;12;9;1.473;1.841;7;211;463;110;4
Pichincha;Pedro Vicente Maldonado;Rural;Total Rural;8.313;901;209;203;16;4.446;2.010;15;101;386;24;2
Pichincha;Pedro Vicente Maldonado;Rural;Asiste;2.696;;175;175;;1.751;428;9;35;123;;
Pichincha;Pedro Vicente Maldonado;Rural;No asiste;5.617;901;34;28;16;2.695;1.582;6;66;263;24;2
Pichincha;Puerto Quito;Total Puerto Quito;Total Puerto Quito;25.067;2.460;365;474;54;12.309;7.089;48;430;1.684;147;7
Pichincha;Puerto Quito;Total Puerto Quito;Asiste;8.165;;309;423;3;4.863;1.541;12;144;864;6;
Pichincha;Puerto Quito;Total Puerto Quito;No asiste;16.902;2.460;56;51;51;7.446;5.548;36;286;820;141;7
Pichincha;Puerto Quito;Urbana;Total Urbana;3.833;298;47;88;11;1.480;1.108;8;169;543;78;3
Pichincha;Puerto Quito;Urbana;Asiste;1.389;;38;80;;725;239;2;55;248;2;
Pichincha;Puerto Quito;Urbana;No asiste;2.444;298;9;8;11;755;869;6;114;295;76;3
Pichincha;Puerto Quito;Rural;Total Rural;21.234;2.162;318;386;43;10.829;5.981;40;261;1.141;69;4
Pichincha;Puerto Quito;Rural;Asiste;6.776;;271;343;3;4.138;1.302;10;89;616;4;
Pichincha;Puerto Quito;Rural;No asiste;14.458;2.162;47;43;40;6.691;4.679;30;172;525;65;4
Tungurahua;Total Tungurahua;Total Tungurahua;Total Tungurahua;563.532;39.072;5.607;10.874;3.322;233.594;136.534;2.164;16.014;101.754;13.505;1.092
Tungurahua;Total Tungurahua;Urbana;Total Urbana;225.249;11.110;1.441;4.087;278;72.476;56.564;1.173;7.507;60.125;9.620;868
Tungurahua;Total Tungurahua;Urbana;Asiste;68.584;;1.189;3.810;17;33.393;11.173;240;1.682;16.858;205;17
Tungurahua;Total Tungurahua;Urbana;No asiste;156.665;11.110;252;277;261;39.083;45.391;933;5.825;43.267;9.415;851
Tungurahua;Total Tungurahua;Rural;Total Rural;338.283;27.962;4.166;6.787;3.044;161.118;79.970;991;8.507;41.629;3.885;224
Tungurahua;Total Tungurahua;Rural;Asiste;106.059;;3.439;6.364;34;56.350;19.296;367;2.682;17.410;110;7
Tungurahua;Total Tungurahua;Rural;No asiste;232.224;27.962;727;423;3.010;104.768;60.674;624;5.825;24.219;3.775;217
Tungurahua;Ambato;Total Ambato;Total Ambato;370.664;25.709;3.390;6.883;2.145;142.810;89.502;1.559;10.033;76.261;11.391;981
Tungurahua;Ambato;Total Ambato;Asiste;115.657;;2.765;6.407;36;58.853;19.836;379;2.624;24.467;268;22
Tungurahua;Ambato;Total Ambato;No asiste;255.007;25.709;625;476;2.109;83.957;69.666;1.180;7.409;51.794;11.123;959
Tungurahua;Ambato;Urbana;Total Urbana;177.316;8.697;1.091;3.030;198;55.393;43.917;959;5.566;49.218;8.451;796
Tungurahua;Ambato;Urbana;Asiste;53.604;;892;2.824;15;25.948;8.662;178;1.259;13.624;185;17
Tungurahua;Ambato;Urbana;No asiste;123.712;8.697;199;206;183;29.445;35.255;781;4.307;35.594;8.266;779
Tungurahua;Ambato;Rural;Total Rural;193.348;17.012;2.299;3.853;1.947;87.417;45.585;600;4.467;27.043;2.940;185
Tungurahua;Ambato;Rural;Asiste;62.053;;1.873;3.583;21;32.905;11.174;201;1.365;10.843;83;5
Tungurahua;Ambato;Rural;No asiste;131.295;17.012;426;270;1.926;54.512;34.411;399;3.102;16.200;2.857;180
Tungurahua;Baños de Agua Santa;Total Baños de Agua Santa;Total Baños de Agua Santa;21.908;1.159;79;412;54;8.192;6.359;63;1.017;4.133;413;27
Tungurahua;Baños de Agua Santa;Total Baños de Agua Santa;Asiste;6.354;;63;381;1;3.215;1.214;12;247;1.210;11;
Tungurahua;Baños de Agua Santa;Total Baños de Agua Santa;No asiste;15.554;1.159;16;31;53;4.977;5.145;51;770;2.923;402;27
Tungurahua;Baños de Agua Santa;Urbana;Total Urbana;14.100;680;40;278;22;4.592;4.172;41;734;3.159;360;22
Tungurahua;Baños de Agua Santa;Urbana;Asiste;4.142;;29;254;;2.084;748;8;165;847;7;
Tungurahua;Baños de Agua Santa;Urbana;No asiste;9.958;680;11;24;22;2.508;3.424;33;569;2.312;353;22
Tungurahua;Baños de Agua Santa;Rural;Total Rural;7.808;479;39;134;32;3.600;2.187;22;283;974;53;5
Tungurahua;Baños de Agua Santa;Rural;Asiste;2.212;;34;127;1;1.131;466;4;82;363;4;
Tungurahua;Baños de Agua Santa;Rural;No asiste;5.596;479;5;7;31;2.469;1.721;18;201;611;49;5
Tungurahua;Cevallos;Total Cevallos;Total Cevallos;10.433;468;124;246;19;4.639;2.685;29;255;1.760;195;13
Tungurahua;Cevallos;Total Cevallos;Asiste;3.315;;112;233;2;1.690;546;8;53;667;4;
Tungurahua;Cevallos;Total Cevallos;No asiste;7.118;468;12;13;17;2.949;2.139;21;202;1.093;191;13
Tungurahua;Cevallos;Urbana;Total Urbana;3.754;160;32;100;3;1.450;981;15;83;829;96;5
Tungurahua;Cevallos;Urbana;Asiste;1.229;;28;96;;617;189;2;14;281;2;
Tungurahua;Cevallos;Urbana;No asiste;2.525;160;4;4;3;833;792;13;69;548;94;5
Tungurahua;Cevallos;Rural;Total Rural;6.679;308;92;146;16;3.189;1.704;14;172;931;99;8
Tungurahua;Cevallos;Rural;Asiste;2.086;;84;137;2;1.073;357;6;39;386;2;
Tungurahua;Cevallos;Rural;No asiste;4.593;308;8;9;14;2.116;1.347;8;133;545;97;8
Tungurahua;Mocha;Total Mocha;Total Mocha;7.260;381;84;135;16;3.805;1.831;6;153;806;40;3
Tungurahua;Mocha;Total Mocha;Asiste;2.031;;72;123;3;1.105;363;1;47;315;2;
Tungurahua;Mocha;Total Mocha;No asiste;5.229;381;12;12;13;2.700;1.468;5;106;491;38;3
Tungurahua;Mocha;Urbana;Total Urbana;1.516;72;13;37;6;727;420;1;37;196;7;
Tungurahua;Mocha;Urbana;Asiste;466;;11;30;2;258;79;;7;79;;
Tungurahua;Mocha;Urbana;No asiste;1.050;72;2;7;4;469;341;1;30;117;7;
Tungurahua;Mocha;Rural;Total Rural;5.744;309;71;98;10;3.078;1.411;5;116;610;33;3
Tungurahua;Mocha;Rural;Asiste;1.565;;61;93;1;847;284;1;40;236;2;
Tungurahua;Mocha;Rural;No asiste;4.179;309;10;5;9;2.231;1.127;4;76;374;31;3
Tungurahua;Patate;Total Patate;Total Patate;13.879;1.097;187;282;56;6.469;3.620;30;461;1.552;117;8
Tungurahua;Patate;Total Patate;Asiste;4.290;;166;270;1;2.302;782;8;174;583;4;
Tungurahua;Patate;Total Patate;No asiste;9.589;1.097;21;12;55;4.167;2.838;22;287;969;113;8
Tungurahua;Patate;Urbana;Total Urbana;2.514;141;24;50;2;792;693;15;137;589;66;5
Tungurahua;Patate;Urbana;Asiste;768;;22;49;;346;113;3;45;189;1;
Tungurahua;Patate;Urbana;No asiste;1.746;141;2;1;2;446;580;12;92;400;65;5
Tungurahua;Patate;Rural;Total Rural;11.365;956;163;232;54;5.677;2.927;15;324;963;51;3
Tungurahua;Patate;Rural;Asiste;3.522;;144;221;1;1.956;669;5;129;394;3;
Tungurahua;Patate;Rural;No asiste;7.843;956;19;11;53;3.721;2.258;10;195;569;48;3
Tungurahua;Quero;Total Quero;Total Quero;19.084;1.466;282;414;189;10.360;4.298;63;317;1.585;108;2
Tungurahua;Quero;Total Quero;Asiste;5.663;;246;389;2;3.087;1.036;35;132;735;1;
Tungurahua;Quero;Total Quero;No asiste;13.421;1.466;36;25;187;7.273;3.262;28;185;850;107;2
Tungurahua;Quero;Urbana;Total Urbana;3.269;207;39;80;11;1.322;805;19;82;643;60;1
Tungurahua;Quero;Urbana;Asiste;1.011;;29;72;;492;160;10;16;231;1;
Tungurahua;Quero;Urbana;No asiste;2.258;207;10;8;11;830;645;9;66;412;59;1
Tungurahua;Quero;Rural;Total Rural;15.815;1.259;243;334;178;9.038;3.493;44;235;942;48;1
Tungurahua;Quero;Rural;Asiste;4.652;;217;317;2;2.595;876;25;116;504;;
Tungurahua;Quero;Rural;No asiste;11.163;1.259;26;17;176;6.443;2.617;19;119;438;48;1
Tungurahua;San Pedro de Pelileo;Total San Pedro de Pelileo;Total San Pedro de Pelileo;63.897;4.407;800;1.427;444;30.385;15.119;193;1.865;8.589;635;33
Tungurahua;San Pedro de Pelileo;Total San Pedro de Pelileo;Asiste;20.450;;641;1.360;2;10.698;3.619;89;532;3.497;11;1
Tungurahua;San Pedro de Pelileo;Total San Pedro de Pelileo;No asiste;43.447;4.407;159;67;442;19.687;11.500;104;1.333;5.092;624;32
Tungurahua;San Pedro de Pelileo;Urbana;Total Urbana;11.403;539;86;256;18;4.106;2.803;67;398;2.846;262;22
Tungurahua;San Pedro de Pelileo;Urbana;Asiste;3.704;;71;243;;1.807;613;20;85;860;5;
Tungurahua;San Pedro de Pelileo;Urbana;No asiste;7.699;539;15;13;18;2.299;2.190;47;313;1.986;257;22
Tungurahua;San Pedro de Pelileo;Rural;Total Rural;52.494;3.868;714;1.171;426;26.279;12.316;126;1.467;5.743;373;11
Tungurahua;San Pedro de Pelileo;Rural;Asiste;16.746;;570;1.117;2;8.891;3.006;69;447;2.637;6;1
Tungurahua;San Pedro de Pelileo;Rural;No asiste;35.748;3.868;144;54;424;17.388;9.310;57;1.020;3.106;367;10
Tungurahua;Santiago de Píllaro;Total Santiago de Píllaro;Total Santiago de Píllaro;42.497;3.569;430;815;340;19.600;9.965;186;1.623;5.450;495;24
Tungurahua;Santiago de Píllaro;Total Santiago de Píllaro;Asiste;12.694;;357;758;2;6.618;2.325;65;447;2.107;14;1
Tungurahua;Santiago de Píllaro;Total Santiago de Píllaro;No asiste;29.803;3.569;73;57;338;12.982;7.640;121;1.176;3.343;481;23
Tungurahua;Santiago de Píllaro;Urbana;Total Urbana;9.816;533;81;229;16;3.351;2.420;54;441;2.381;293;17
Tungurahua;Santiago de Píllaro;Urbana;Asiste;3.157;;75;216;;1.589;534;18;82;639;4;
Tungurahua;Santiago de Píllaro;Urbana;No asiste;6.659;533;6;13;16;1.762;1.886;36;359;1.742;289;17
Tungurahua;Santiago de Píllaro;Rural;Total Rural;32.681;3.036;349;586;324;16.249;7.545;132;1.182;3.069;202;7
Tungurahua;Santiago de Píllaro;Rural;Asiste;9.537;;282;542;2;5.029;1.791;47;365;1.468;10;1
Tungurahua;Santiago de Píllaro;Rural;No asiste;23.144;3.036;67;44;322;11.220;5.754;85;817;1.601;192;6
Tungurahua;Tisaleo;Total Tisaleo;Total Tisaleo;13.910;816;231;260;59;7.334;3.155;35;290;1.618;111;1
Tungurahua;Tisaleo;Total Tisaleo;Asiste;4.189;;206;253;2;2.175;748;10;108;687;;
Tungurahua;Tisaleo;Total Tisaleo;No asiste;9.721;816;25;7;57;5.159;2.407;25;182;931;111;1
Tungurahua;Tisaleo;Urbana;Total Urbana;1.561;81;35;27;2;743;353;2;29;264;25;
Tungurahua;Tisaleo;Urbana;Asiste;503;;32;26;;252;75;1;9;108;;
Tungurahua;Tisaleo;Urbana;No asiste;1.058;81;3;1;2;491;278;1;20;156;25;
Tungurahua;Tisaleo;Rural;Total Rural;12.349;735;196;233;57;6.591;2.802;33;261;1.354;86;1
Tungurahua;Tisaleo;Rural;Asiste;3.686;;174;227;2;1.923;673;9;99;579;;
Tungurahua;Tisaleo;Rural;No asiste;8.663;735;22;6;55;4.668;2.129;24;162;775;86;1
Zamora Chinchipe;Total Zamora Chinchipe;Total Zamora Chinchipe;Total Zamora Chinchipe;110.973;8.961;1.354;2.595;329;48.128;32.216;381;2.187;13.494;1.281;47
Zamora Chinchipe;Total Zamora Chinchipe;Urbana;Total Urbana;51.424;3.394;515;1.328;95;18.398;15.454;269;1.465;9.418;1.051;37
Zamora Chinchipe;Total Zamora Chinchipe;Urbana;Asiste;17.756;;420;1.237;21;9.997;3.169;44;330;2.509;28;1
Zamora Chinchipe;Total Zamora Chinchipe;Urbana;No asiste;33.668;3.394;95;91;74;8.401;12.285;225;1.135;6.909;1.023;36
Zamora Chinchipe;Total Zamora Chinchipe;Rural;Total Rural;59.549;5.567;839;1.267;234;29.730;16.762;112;722;4.076;230;10
Zamora Chinchipe;Total Zamora Chinchipe;Rural;Asiste;19.918;;649;1.104;5;12.494;3.809;30;195;1.627;4;1
Zamora Chinchipe;Total Zamora Chinchipe;Rural;No asiste;39.631;5.567;190;163;229;17.236;12.953;82;527;2.449;226;9
Zamora Chinchipe;Zamora;Total Zamora;Total Zamora;30.186;2.153;309;763;85;11.086;8.868;99;832;5.347;611;33
Zamora Chinchipe;Zamora;Total Zamora;Asiste;9.536;;260;650;14;5.352;1.722;18;197;1.310;13;
Zamora Chinchipe;Zamora;Total Zamora;No asiste;20.650;2.153;49;113;71;5.734;7.146;81;635;4.037;598;33
Zamora Chinchipe;Zamora;Urbana;Total Urbana;17.584;1.029;169;455;38;5.352;5.181;61;616;4.125;533;25
Zamora Chinchipe;Zamora;Urbana;Asiste;5.758;;143;424;10;3.120;975;11;137;926;12;
Zamora Chinchipe;Zamora;Urbana;No asiste;11.826;1.029;26;31;28;2.232;4.206;50;479;3.199;521;25
Zamora Chinchipe;Zamora;Rural;Total Rural;12.602;1.124;140;308;47;5.734;3.687;38;216;1.222;78;8
Zamora Chinchipe;Zamora;Rural;Asiste;3.778;;117;226;4;2.232;747;7;60;384;1;
Zamora Chinchipe;Zamora;Rural;No asiste;8.824;1.124;23;82;43;3.502;2.940;31;156;838;77;8
Zamora Chinchipe;Chinchipe;Total Chinchipe;Total Chinchipe;10.337;825;68;195;34;4.855;3.003;23;195;1.050;88;1
Zamora Chinchipe;Chinchipe;Total Chinchipe;Asiste;3.262;;38;179;6;2.107;594;3;28;306;1;
Zamora Chinchipe;Chinchipe;Total Chinchipe;No asiste;7.075;825;30;16;28;2.748;2.409;20;167;744;87;1
Zamora Chinchipe;Chinchipe;Urbana;Total Urbana;4.154;249;40;114;9;1.441;1.331;19;130;751;69;1
Zamora Chinchipe;Chinchipe;Urbana;Asiste;1.378;;29;102;6;786;257;2;14;181;1;
Zamora Chinchipe;Chinchipe;Urbana;No asiste;2.776;249;11;12;3;655;1.074;17;116;570;68;1
Zamora Chinchipe;Chinchipe;Rural;Total Rural;6.183;576;28;81;25;3.414;1.672;4;65;299;19;
Zamora Chinchipe;Chinchipe;Rural;Asiste;1.884;;9;77;;1.321;337;1;14;125;;
Zamora Chinchipe;Chinchipe;Rural;No asiste;4.299;576;19;4;25;2.093;1.335;3;51;174;19;
Zamora Chinchipe;Nangaritza;Total Nangaritza;Total Nangaritza;6.429;611;122;162;21;3.053;1.748;10;74;590;38;
Zamora Chinchipe;Nangaritza;Total Nangaritza;Asiste;2.372;;105;149;1;1.451;381;6;29;248;2;
Zamora Chinchipe;Nangaritza;Total Nangaritza;No asiste;4.057;611;17;13;20;1.602;1.367;4;45;342;36;
Zamora Chinchipe;Nangaritza;Urbana;Total Urbana;2.519;169;38;78;5;1.032;716;7;47;401;26;
Zamora Chinchipe;Nangaritza;Urbana;Asiste;986;;34;73;1;534;166;3;18;157;;
Zamora Chinchipe;Nangaritza;Urbana;No asiste;1.533;169;4;5;4;498;550;4;29;244;26;
Zamora Chinchipe;Nangaritza;Rural;Total Rural;3.910;442;84;84;16;2.021;1.032;3;27;189;12;
Zamora Chinchipe;Nangaritza;Rural;Asiste;1.386;;71;76;;917;215;3;11;91;2;
Zamora Chinchipe;Nangaritza;Rural;No asiste;2.524;442;13;8;16;1.104;817;;16;98;10;
Zamora Chinchipe;Yacuambi;Total Yacuambi;Total Yacuambi;6.391;605;192;157;21;2.963;1.827;14;56;529;27;
Zamora Chinchipe;Yacuambi;Total Yacuambi;Asiste;2.360;;149;139;;1.415;423;8;13;213;;
Zamora Chinchipe;Yacuambi;Total Yacuambi;No asiste;4.031;605;43;18;21;1.548;1.404;6;43;316;27;
Zamora Chinchipe;Yacuambi;Urbana;Total Urbana;1.626;90;39;40;1;598;562;1;21;259;15;
Zamora Chinchipe;Yacuambi;Urbana;Asiste;638;;31;37;;376;110;;4;80;;
Zamora Chinchipe;Yacuambi;Urbana;No asiste;988;90;8;3;1;222;452;1;17;179;15;
Zamora Chinchipe;Yacuambi;Rural;Total Rural;4.765;515;153;117;20;2.365;1.265;13;35;270;12;
Zamora Chinchipe;Yacuambi;Rural;Asiste;1.722;;118;102;;1.039;313;8;9;133;;
Zamora Chinchipe;Yacuambi;Rural;No asiste;3.043;515;35;15;20;1.326;952;5;26;137;12;
Zamora Chinchipe;Yantzaza;Total Yantzaza;Total Yantzaza;23.370;1.962;214;536;58;9.920;6.956;180;487;2.786;264;7
Zamora Chinchipe;Yantzaza;Total Yantzaza;Asiste;8.235;;190;510;;4.867;1.589;22;119;928;10;
Zamora Chinchipe;Yantzaza;Total Yantzaza;No asiste;15.135;1.962;24;26;58;5.053;5.367;158;368;1.858;254;7
Zamora Chinchipe;Yantzaza;Urbana;Total Urbana;13.335;987;85;327;22;5.120;4.000;153;355;2.048;232;6
Zamora Chinchipe;Yantzaza;Urbana;Asiste;4.700;;72;313;;2.719;877;19;84;606;10;
Zamora Chinchipe;Yantzaza;Urbana;No asiste;8.635;987;13;14;22;2.401;3.123;134;271;1.442;222;6
Zamora Chinchipe;Yantzaza;Rural;Total Rural;10.035;975;129;209;36;4.800;2.956;27;132;738;32;1
Zamora Chinchipe;Yantzaza;Rural;Asiste;3.535;;118;197;;2.148;712;3;35;322;;
Zamora Chinchipe;Yantzaza;Rural;No asiste;6.500;975;11;12;36;2.652;2.244;24;97;416;32;1
Zamora Chinchipe;El Pangui;Total El Pangui;Total El Pangui;12.768;1.188;122;328;31;6.059;3.518;17;153;1.249;100;3
